127.0.0.1 - - [05/Feb/2026:12:21:10 +0530] "GET /Virtual-Classroom-master/index.jsp HTTP/1.1" 200 9836
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:12 +0530] "GET / HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:12 +0530] "GET / HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:12 +0530] "GET / HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:12 +0530] "GET / HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:59 +0530] "GET /Virtual-Classroom-master/index.jsp HTTP/1.1" 200 9836
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:59 +0530] "GET /Virtual-Classroom-master/student_login.jsp HTTP/1.1" 500 3262
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:59 +0530] "GET /Virtual-Classroom-master/student_register.jsp HTTP/1.1" 500 3271
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:59 +0530] "GET /Virtual-Classroom-master/faculty_login.jsp HTTP/1.1" 500 3262
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:59 +0530] "GET /Virtual-Classroom-master/faculty_register.jsp HTTP/1.1" 500 3271
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:21:59 +0530] "GET /Virtual-Classroom-master/admin_login.jsp HTTP/1.1" 500 3256
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/index.jsp HTTP/1.1" 200 9836
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/slicknav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/gijgo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:22:35 +0530] "GET /Virtual-Classroom-master/assets/css/progressbar_barfiller.css HTTP/1.1" 304 -
